,id_station,hora,O3,PM10,PM2.5,Latitud,Longitud
0,ACO,0,18.281112737920935,33.22170900692841,,19.635501,-98.91200300000001
1,ACO,1,16.074662430500396,35.01255230125523,,19.635501,-98.91200300000001
2,ACO,7,4.617267165193746,41.01346562721474,,19.635501,-98.91200300000001
3,ACO,8,7.338104976141786,46.67259786476868,,19.635501,-98.91200300000001
4,ACO,9,16.397827562797012,44.92811387900356,,19.635501,-98.91200300000001
5,ACO,10,30.134297520661157,38.36204379562044,,19.635501,-98.91200300000001
6,ACO,11,43.21981856245638,35.41305942773294,,19.635501,-98.91200300000001
7,ACO,12,52.93611111111111,34.124542124542124,,19.635501,-98.91200300000001
8,ACO,13,58.82869080779944,31.52332361516035,,19.635501,-98.91200300000001
9,ACO,14,60.90324809951624,30.639593908629443,,19.635501,-98.91200300000001
10,ACO,15,60.76426116838488,31.665703971119132,,19.635501,-98.91200300000001
11,ACO,16,58.365870307167235,36.0336676217765,,19.635501,-98.91200300000001
12,ACO,17,53.37559972583961,41.08933717579251,,19.635501,-98.91200300000001
13,ACO,18,45.85940730530668,46.1671469740634,,19.635501,-98.91200300000001
14,ACO,19,37.143150684931506,50.812634601579326,,19.635501,-98.91200300000001
15,ACO,20,30.92940370116518,47.375,,19.635501,-98.91200300000001
16,ACO,21,26.78463648834019,40.65827338129496,,19.635501,-98.91200300000001
17,ACO,22,23.29226557152635,36.282124910265615,,19.635501,-98.91200300000001
18,ACO,23,20.572112098427887,34.781048097631015,,19.635501,-98.91200300000001
19,AJM,0,28.4890873015873,25.22912205567452,14.790149892933618,19.2721,-99.207658
20,AJM,1,29.072810011376564,23.380778588807786,14.16058394160584,19.2721,-99.207658
21,AJM,7,20.839080459770116,23.78680203045685,15.045685279187817,19.2721,-99.207658
22,AJM,8,19.78962536023055,27.66360856269113,16.732925586136595,19.2721,-99.207658
23,AJM,9,22.033428844317097,33.845286885245905,20.0922131147541,19.2721,-99.207658
24,AJM,10,29.195169082125602,39.44953173777315,23.525494276795005,19.2721,-99.207658
25,AJM,11,40.960668633235,42.61724500525762,26.110410094637224,19.2721,-99.207658
26,AJM,12,54.65403788634098,43.3649946638207,27.0042689434365,19.2721,-99.207658
27,AJM,13,67.50299401197604,44.65310492505353,28.17558886509636,19.2721,-99.207658
28,AJM,14,76.64059405940594,44.33828207847296,27.679745493107106,19.2721,-99.207658
29,AJM,15,80.4795719844358,43.64360587002096,26.57922350472193,19.2721,-99.207658
30,AJM,16,78.0019305019305,42.53050672182006,24.875904860392968,19.2721,-99.207658
31,AJM,17,70.49085659287776,40.98442367601246,22.920041536863966,19.2721,-99.207658
32,AJM,18,57.83783783783784,39.30785123966942,20.790289256198346,19.2721,-99.207658
33,AJM,19,47.43269230769231,37.26212590299278,19.08875128998968,19.2721,-99.207658
34,AJM,20,40.23800383877159,34.28541882109617,17.798345398138572,19.2721,-99.207658
35,AJM,21,33.47641963426371,32.24896694214876,17.332644628099175,19.2721,-99.207658
36,AJM,22,28.636100386100384,30.413471502590674,16.75544041450777,19.2721,-99.207658
37,AJM,23,27.75868725868726,27.620227038183696,15.620227038183694,19.2721,-99.207658
38,AJU,0,16.596864501679732,,13.011857707509881,19.154674,-99.162459
39,AJU,1,15.674534161490683,,16.10239651416122,19.154674,-99.162459
40,AJU,7,10.692063492063491,,13.495495495495495,19.154674,-99.162459
41,AJU,8,14.1553911205074,,14.859964093357272,19.154674,-99.162459
42,AJU,9,25.694179894179893,,14.327305605786618,19.154674,-99.162459
43,AJU,10,37.22104144527099,,13.499065420560747,19.154674,-99.162459
44,AJU,11,43.84,,19.4981884057971,19.154674,-99.162459
45,AJU,12,51.70594594594595,,24.86387434554974,19.154674,-99.162459
46,AJU,13,60.47891891891892,,27.110535405872195,19.154674,-99.162459
47,AJU,14,68.42703862660944,,26.917525773195877,19.154674,-99.162459
48,AJU,15,72.74946466809422,,25.808290155440414,19.154674,-99.162459
49,AJU,16,72.2771855010661,,24.809931506849313,19.154674,-99.162459
50,AJU,17,67.84132055378062,,24.23063683304647,19.154674,-99.162459
51,AJU,18,59.224119530416225,,23.915807560137456,19.154674,-99.162459
52,AJU,19,46.31149301825994,,23.901893287435456,19.154674,-99.162459
53,AJU,20,35.241711229946524,,21.38245614035088,19.154674,-99.162459
54,AJU,21,27.63957219251337,,16.97508896797153,19.154674,-99.162459
55,AJU,22,22.317596566523605,,15.061705989110708,19.154674,-99.162459
56,AJU,23,18.54741379310345,,14.796610169491526,19.154674,-99.162459
57,ATI,0,15.235173824130879,29.257771038665656,,19.576963,-99.254133
58,ATI,1,15.452064896755163,26.358333333333334,,19.576963,-99.254133
59,ATI,7,3.3665785997357993,48.96467195385725,,19.576963,-99.254133
60,ATI,8,5.04227212681638,65.26532083633742,,19.576963,-99.254133
61,ATI,9,12.421750663129973,57.957059679767106,,19.576963,-99.254133
62,ATI,10,22.560646900269543,52.05592841163311,,19.576963,-99.254133
63,ATI,11,34.116311080523054,48.992383853769994,,19.576963,-99.254133
64,ATI,12,46.189690721649484,45.31534309946029,,19.576963,-99.254133
65,ATI,13,56.79023383768914,39.07704280155642,,19.576963,-99.254133
66,ATI,14,62.93392370572207,37.4768875192604,,19.576963,-99.254133
67,ATI,15,63.638888888888886,39.66153846153846,,19.576963,-99.254133
68,ATI,16,60.23735670937289,40.74662668665667,,19.576963,-99.254133
69,ATI,17,52.78234501347709,45.702560240963855,,19.576963,-99.254133
70,ATI,18,41.92379679144385,49.5260029717682,,19.576963,-99.254133
71,ATI,19,30.251664447403463,51.98975859546452,,19.576963,-99.254133
72,ATI,20,22.979986657771846,48.77407407407407,,19.576963,-99.254133
73,ATI,21,18.79960053262317,42.440852314474654,,19.576963,-99.254133
74,ATI,22,16.32667997338656,38.24539425202653,,19.576963,-99.254133
75,ATI,23,15.296469020652898,33.468796433878154,,19.576963,-99.254133
76,BJU,0,13.779156327543424,31.277001270648032,18.088832487309645,19.371612,-99.15896900000001
77,BJU,1,13.107994389901823,30.087517934002868,17.992826398852223,19.371612,-99.15896900000001
78,BJU,7,3.337278106508876,38.90974729241877,22.537906137184116,19.371612,-99.15896900000001
79,BJU,8,5.29112426035503,45.65587529976019,25.100719424460433,19.371612,-99.15896900000001
80,BJU,9,11.366113744075829,50.90108564535585,29.455971049457176,19.371612,-99.15896900000001
81,BJU,10,21.941247002398082,55.68658536585366,34.045121951219514,19.371612,-99.15896900000001
82,BJU,11,36.76184690157959,57.99003735990038,36.89788293897883,19.371612,-99.15896900000001
83,BJU,12,53.354957160342714,56.12185929648241,36.46859296482412,19.371612,-99.15896900000001
84,BJU,13,67.85941320293398,52.28035043804756,33.92991239048811,19.371612,-99.15896900000001
85,BJU,14,76.57766990291262,48.52912019826518,31.03717472118959,19.371612,-99.15896900000001
86,BJU,15,77.86111111111111,46.54207920792079,28.192069392812886,19.371612,-99.15896900000001
87,BJU,16,73.23353293413173,45.018427518427515,25.627306273062732,19.371612,-99.15896900000001
88,BJU,17,63.80286738351254,44.31533742331288,23.58159509202454,19.371612,-99.15896900000001
89,BJU,18,49.10739856801909,42.556650246305416,20.852216748768473,19.371612,-99.15896900000001
90,BJU,19,33.97735399284863,41.07560975609756,19.090243902439024,19.371612,-99.15896900000001
91,BJU,20,24.158145065398337,38.80992736077482,18.624697336561745,19.371612,-99.15896900000001
92,BJU,21,19.3492252681764,37.02657004830918,18.554347826086957,19.371612,-99.15896900000001
93,BJU,22,16.581644815256258,35.09673518742443,18.619105199516323,19.371612,-99.15896900000001
94,BJU,23,14.910501193317423,33.413625304136254,18.431873479318735,19.371612,-99.15896900000001
95,CAM,0,9.103643216080402,39.37863372093023,20.970203488372093,19.468404,-99.169794
96,CAM,1,8.688356164383562,38.81205951448708,21.537979639780737,19.468404,-99.169794
97,CAM,7,2.0652041438147473,56.13573407202216,28.61288088642659,19.468404,-99.169794
98,CAM,8,3.563758389261745,66.1673611111111,31.763194444444444,19.468404,-99.169794
99,CAM,9,8.406384284837323,67.73995771670191,34.830866807610995,19.468404,-99.169794
100,CAM,10,17.64881693648817,68.47326589595376,38.301300578034684,19.468404,-99.169794
101,CAM,11,31.370393900889454,66.07369196757553,38.84524686809138,19.468404,-99.169794
102,CAM,12,47.18262523779328,61.25036927621861,36.72525849335303,19.468404,-99.169794
103,CAM,13,60.85489949748744,56.316520467836256,33.60818713450293,19.468404,-99.169794
104,CAM,14,68.56035021888681,52.527272727272724,30.758545454545455,19.468404,-99.169794
105,CAM,15,68.78911564625851,49.796561604584525,28.03868194842407,19.468404,-99.169794
106,CAM,16,63.19471744471745,48.626068376068375,25.782763532763532,19.468404,-99.169794
107,CAM,17,53.69773145309626,48.93461265103056,24.54868514570007,19.468404,-99.169794
108,CAM,18,39.81399631675875,48.05618776671408,22.507112375533428,19.468404,-99.169794
109,CAM,19,25.59816513761468,48.63793103448276,21.81824712643678,19.468404,-99.169794
110,CAM,20,18.130806845965772,45.18692253020611,20.465529495380242,19.468404,-99.169794
111,CAM,21,14.411117898594991,42.32673267326733,20.494342291371993,19.468404,-99.169794
112,CAM,22,11.55440097799511,40.851590106007066,20.894699646643108,19.468404,-99.169794
113,CAM,23,9.928921568627452,40.16525423728814,21.03319209039548,19.468404,-99.169794
114,CCA,0,13.886200716845877,,14.739829706717124,19.3262,-99.1761
115,CCA,1,13.735384615384616,,15.66181410974244,19.3262,-99.1761
116,CCA,7,3.367012089810017,,16.723327305605785,19.3262,-99.1761
117,CCA,8,4.749566724436741,,17.6497277676951,19.3262,-99.1761
118,CCA,9,11.162911611785095,,18.18521897810219,19.3262,-99.1761
119,CCA,10,22.12129144851658,,20.875925925925927,19.3262,-99.1761
120,CCA,11,36.63886424134871,,23.455307262569832,19.3262,-99.1761
121,CCA,12,52.24821428571428,,23.24108818011257,19.3262,-99.1761
122,CCA,13,66.17441860465117,,21.339640491958374,19.3262,-99.1761
123,CCA,14,75.20426287744228,,19.786579683131407,19.3262,-99.1761
124,CCA,15,76.89122807017544,,18.376036866359446,19.3262,-99.1761
125,CCA,16,72.74303135888502,,18.057904411764707,19.3262,-99.1761
126,CCA,17,63.694250871080136,,18.259871441689622,19.3262,-99.1761
127,CCA,18,50.63835376532399,,18.78538812785388,19.3262,-99.1761
128,CCA,19,35.821522309711284,,18.34608378870674,19.3262,-99.1761
129,CCA,20,25.698952879581153,,17.60928961748634,19.3262,-99.1761
130,CCA,21,19.623036649214658,,16.66757741347905,19.3262,-99.1761
131,CCA,22,16.236681222707425,,16.23701002734731,19.3262,-99.1761
132,CCA,23,14.368558951965065,,16.03290676416819,19.3262,-99.1761
133,CHO,0,15.61474888747616,33.91035441278666,,19.266948,-98.886088
134,CHO,1,14.257796257796258,31.867749419953597,,19.266948,-98.886088
135,CHO,7,4.032138442521632,64.32981530343008,,19.266948,-98.886088
136,CHO,8,5.738699690402477,81.7475280158207,,19.266948,-98.886088
137,CHO,9,13.308074534161491,77.52816434724983,,19.266948,-98.886088
138,CHO,10,25.747474747474747,64.87813134732566,,19.266948,-98.886088
139,CHO,11,39.666666666666664,57.161937716262976,,19.266948,-98.886088
140,CHO,12,51.760230179028135,51.719054242002784,,19.266948,-98.886088
141,CHO,13,59.2157490396927,50.79195561719833,,19.266948,-98.886088
142,CHO,14,61.95238095238095,53.81147540983606,,19.266948,-98.886088
143,CHO,15,60.88923851478918,58.43367003367003,,19.266948,-98.886088
144,CHO,16,57.720100187852225,61.71215207060421,,19.266948,-98.886088
145,CHO,17,54.02824858757062,63.1267700606878,,19.266948,-98.886088
146,CHO,18,48.609893550407016,62.586161011310715,,19.266948,-98.886088
147,CHO,19,39.782227784730914,55.64218958611482,,19.266948,-98.886088
148,CHO,20,30.242785445420328,50.13391655450875,,19.266948,-98.886088
149,CHO,21,23.183125,48.580428954423596,,19.266948,-98.886088
150,CHO,22,19.096875,43.06973595125254,,19.266948,-98.886088
151,CHO,23,16.9874686716792,38.21569965870307,,19.266948,-98.886088
152,CUA,0,21.164698570540708,24.6951871657754,,19.365313,-99.291705
153,CUA,1,21.053571428571427,23.627484874675886,,19.365313,-99.291705
154,CUA,7,9.799301919720769,27.461971830985917,,19.365313,-99.291705
155,CUA,8,12.464098073555167,32.09180790960452,,19.365313,-99.291705
156,CUA,9,19.684395090590296,33.186488388458834,,19.365313,-99.291705
157,CUA,10,27.457965902410347,34.92429704397981,,19.365313,-99.291705
158,CUA,11,37.1961375980688,37.44631117604091,,19.365313,-99.291705
159,CUA,12,48.28415961305925,39.637226277372264,,19.365313,-99.291705
160,CUA,13,59.089928057553955,40.52517985611511,,19.365313,-99.291705
161,CUA,14,66.79845880260818,41.06107954545455,,19.365313,-99.291705
162,CUA,15,70.4861845972957,41.474612129760224,,19.365313,-99.291705
163,CUA,16,67.32432432432432,41.80804516584333,,19.365313,-99.291705
164,CUA,17,59.36619718309859,40.83864118895966,,19.365313,-99.291705
165,CUA,18,48.357394366197184,40.71680790960452,,19.365313,-99.291705
166,CUA,19,35.79073856975381,38.712765957446805,,19.365313,-99.291705
167,CUA,20,28.38605741066198,35.94138670478913,,19.365313,-99.291705
168,CUA,21,25.21774664331582,31.498936924167257,,19.365313,-99.291705
169,CUA,22,22.88649592549476,28.931866572036906,,19.365313,-99.291705
170,CUA,23,21.683536940081442,27.100852272727273,,19.365313,-99.291705
171,CUT,0,10.293082524271844,46.02721563154222,,19.722186,-99.198602
172,CUT,1,8.434840425531915,42.52424942263279,,19.722186,-99.198602
173,CUT,7,2.931764705882353,73.68258238063214,,19.722186,-99.198602
174,CUT,8,4.828419811320755,104.39809782608695,,19.722186,-99.198602
175,CUT,9,11.197879858657243,88.99451679232351,,19.722186,-99.198602
176,CUT,10,21.191666666666666,70.79293628808864,,19.722186,-99.198602
177,CUT,11,33.728267477203644,59.694855532064835,,19.722186,-99.198602
178,CUT,12,45.38339438339438,46.48051948051948,,19.722186,-99.198602
179,CUT,13,52.9480757483201,37.255830903790084,,19.722186,-99.198602
180,CUT,14,56.659600242277406,35.91144708423326,,19.722186,-99.198602
181,CUT,15,57.21068427370948,39.276998597475455,,19.722186,-99.198602
182,CUT,16,54.775,44.56413793103448,,19.722186,-99.198602
183,CUT,17,49.13265913146936,51.722298221614224,,19.722186,-99.198602
184,CUT,18,40.05760095011876,60.600680272108846,,19.722186,-99.198602
185,CUT,19,29.388557806912992,66.46295037389531,,19.722186,-99.198602
186,CUT,20,21.998810939357906,65.1509817197021,,19.722186,-99.198602
187,CUT,21,18.24274718768502,58.25050505050505,,19.722186,-99.198602
188,CUT,22,15.47069271758437,53.66419919246299,,19.722186,-99.198602
189,CUT,23,12.592658377738307,50.098105548037886,,19.722186,-99.198602
190,FAC,0,15.904819277108434,28.738245614035087,,19.482473,-99.243524
191,FAC,1,15.60223537146614,25.24230769230769,,19.482473,-99.243524
192,FAC,7,4.0508474576271185,48.09652002626395,,19.482473,-99.243524
193,FAC,8,5.502043199065966,63.416775884665796,,19.482473,-99.243524
194,FAC,9,11.648886283704572,55.44804765056254,,19.482473,-99.243524
195,FAC,10,20.800354400472536,52.18169672678691,,19.482473,-99.243524
196,FAC,11,33.566966966966966,47.83287858117326,,19.482473,-99.243524
197,FAC,12,47.352444176222086,40.92941176470588,,19.482473,-99.243524
198,FAC,13,59.063816977724265,37.70264623955432,,19.482473,-99.243524
199,FAC,14,67.125,37.09140893470791,,19.482473,-99.243524
200,FAC,15,69.2379821958457,38.54489795918367,,19.482473,-99.243524
201,FAC,16,65.22333529758397,40.888440860215056,,19.482473,-99.243524
202,FAC,17,56.934156378600825,47.361872909698995,,19.482473,-99.243524
203,FAC,18,44.056958308866704,52.08626410086264,,19.482473,-99.243524
204,FAC,19,30.495882352941177,52.244015957446805,,19.482473,-99.243524
205,FAC,20,22.525603296056502,49.2508338892595,,19.482473,-99.243524
206,FAC,21,18.729460093896712,43.42752171008684,,19.482473,-99.243524
207,FAC,22,16.968933177022276,37.755837224816545,,19.482473,-99.243524
208,FAC,23,16.376394597768645,32.95107238605898,,19.482473,-99.243524
209,GAM,0,12.532846715328468,,22.532567049808428,19.4827,-99.094517
210,GAM,1,11.388797364085667,,23.051063829787235,19.4827,-99.094517
211,GAM,7,3.4652777777777777,,31.40357142857143,19.4827,-99.094517
212,GAM,8,5.493036211699164,,33.63799283154122,19.4827,-99.094517
213,GAM,9,11.487430167597765,,38.25090909090909,19.4827,-99.094517
214,GAM,10,22.856942496493687,,42.56088560885609,19.4827,-99.094517
215,GAM,11,39.23076923076923,,43.330882352941174,19.4827,-99.094517
216,GAM,12,56.71509971509972,,41.00735294117647,19.4827,-99.094517
217,GAM,13,69.6163610719323,,35.985074626865675,19.4827,-99.094517
218,GAM,14,75.25457102672293,,29.639405204460967,19.4827,-99.094517
219,GAM,15,75.0827489481066,,25.922794117647058,19.4827,-99.094517
220,GAM,16,70.2586926286509,,23.40221402214022,19.4827,-99.094517
221,GAM,17,61.728155339805824,,21.956043956043956,19.4827,-99.094517
222,GAM,18,49.332867132867136,,21.488970588235293,19.4827,-99.094517
223,GAM,19,34.90642458100559,,20.339483394833948,19.4827,-99.094517
224,GAM,20,25.848951048951047,,19.101083032490976,19.4827,-99.094517
225,GAM,21,20.850558659217878,,19.21014492753623,19.4827,-99.094517
226,GAM,22,16.653089887640448,,20.310469314079423,19.4827,-99.094517
227,GAM,23,13.891701828410689,,21.294964028776977,19.4827,-99.094517
228,HGM,0,11.327020202020202,34.2847965738758,19.472519628836544,19.411617,-99.152207
229,HGM,1,10.796361091672498,33.35993740219092,19.55399061032864,19.411617,-99.152207
230,HGM,7,2.655621301775148,43.02251655629139,25.058940397350995,19.411617,-99.152207
231,HGM,8,4.460035523978686,50.55379537953795,28.157095709570957,19.411617,-99.152207
232,HGM,9,9.706722189173112,57.15922718187875,32.60226515656229,19.411617,-99.152207
233,HGM,10,19.16806220095694,61.38654891304348,36.958559782608695,19.411617,-99.152207
234,HGM,11,32.96212583995113,62.10189739985945,39.00140548137737,19.411617,-99.152207
235,HGM,12,48.53169230769231,59.664051355206844,38.63409415121255,19.411617,-99.152207
236,HGM,13,62.3979217603912,54.3825018076645,34.94215473608099,19.411617,-99.152207
237,HGM,14,70.0248635536689,50.584172661870504,32.0,19.411617,-99.152207
238,HGM,15,69.77924415116976,48.67123287671233,29.260994953136265,19.411617,-99.152207
239,HGM,16,63.82608695652174,46.673850574712645,26.119971264367816,19.411617,-99.152207
240,HGM,17,54.55184743742551,45.8394528437725,24.110151187904968,19.411617,-99.152207
241,HGM,18,42.08982748364069,44.333807829181495,21.969395017793595,19.411617,-99.152207
242,HGM,19,29.36682520808561,41.983960948396096,20.149232914923292,19.411617,-99.152207
243,HGM,20,20.801903628792385,39.52792915531335,19.06198910081744,19.411617,-99.152207
244,HGM,21,16.574569221628046,37.22748815165877,18.924170616113745,19.411617,-99.152207
245,HGM,22,13.906714200831848,35.786244099797706,19.035064059339177,19.411617,-99.152207
246,HGM,23,12.023767082590613,34.920805369127514,19.026845637583893,19.411617,-99.152207
247,INN,0,27.198263386396526,17.417525773195877,12.487972508591065,19.291968,-99.38052
248,INN,1,27.295269168026103,16.137864077669903,11.72233009708738,19.291968,-99.38052
249,INN,7,24.153739612188367,12.123388581952117,8.469613259668508,19.291968,-99.38052
250,INN,8,24.569908814589667,12.761029411764707,8.71875,19.291968,-99.38052
251,INN,9,28.666666666666668,15.652991452991452,10.287179487179488,19.291968,-99.38052
252,INN,10,35.56328233657858,17.45144804088586,11.146507666098808,19.291968,-99.38052
253,INN,11,40.67045454545455,19.89625850340136,12.38265306122449,19.291968,-99.38052
254,INN,12,46.74431818181818,23.892491467576793,14.621160409556314,19.291968,-99.38052
255,INN,13,54.65428571428571,27.816638370118845,17.237691001697794,19.291968,-99.38052
256,INN,14,61.64416315049226,30.512647554806072,18.920741989881957,19.291968,-99.38052
257,INN,15,66.0126050420168,33.177330895795244,20.636197440585008,19.291968,-99.38052
258,INN,16,65.97239263803681,34.875,21.473214285714285,19.291968,-99.38052
259,INN,17,60.383008356545965,33.52059308072488,20.42998352553542,19.291968,-99.38052
260,INN,18,52.71629213483146,31.442434210526315,19.10032894736842,19.291968,-99.38052
261,INN,19,42.61258741258741,27.970443349753694,17.54679802955665,19.291968,-99.38052
262,INN,20,34.86731843575419,26.178688524590164,16.61639344262295,19.291968,-99.38052
263,INN,21,30.317482517482517,23.983498349834985,15.592409240924093,19.291968,-99.38052
264,INN,22,27.72663877266388,21.61487603305785,14.573553719008265,19.291968,-99.38052
265,INN,23,27.31578947368421,19.269607843137255,13.468954248366012,19.291968,-99.38052
266,IZT,0,10.761274804570053,30.03467492260062,,19.384413,-99.117641
267,IZT,1,10.433267587113741,31.87962340282448,,19.384413,-99.117641
268,IZT,7,2.8296382730455076,38.25134328358209,,19.384413,-99.117641
269,IZT,8,4.657694558221182,40.99039039039039,,19.384413,-99.117641
270,IZT,9,10.316872427983538,41.926799758015726,,19.384413,-99.117641
271,IZT,10,20.854578096947936,45.42255266418835,,19.384413,-99.117641
272,IZT,11,35.72997572815534,46.87125,,19.384413,-99.117641
273,IZT,12,52.164433617539586,43.557776389756405,,19.384413,-99.117641
274,IZT,13,65.90398550724638,37.53551575046325,,19.384413,-99.117641
275,IZT,14,73.83909415971395,33.868872549019606,,19.384413,-99.117641
276,IZT,15,73.33057362507392,32.81591737545565,,19.384413,-99.117641
277,IZT,16,66.84861028976937,34.32383262583384,,19.384413,-99.117641
278,IZT,17,56.85655253837072,37.44002411091019,,19.384413,-99.117641
279,IZT,18,43.103529411764704,40.32329921733895,,19.384413,-99.117641
280,IZT,19,28.82762691853601,41.516616314199396,,19.384413,-99.117641
281,IZT,20,20.266313932980598,40.11104405552203,,19.384413,-99.117641
282,IZT,21,15.824468085106384,36.35666867833434,,19.384413,-99.117641
283,IZT,22,12.64896755162242,33.347642079806526,,19.384413,-99.117641
284,IZT,23,11.258844339622641,31.242296072507553,,19.384413,-99.117641
285,LLA,0,12.08844884488449,,,19.578792,-99.039644
286,LLA,1,11.971656976744185,,,19.578792,-99.039644
287,LLA,7,2.725590299936184,,,19.578792,-99.039644
288,LLA,8,4.653452685421995,,,19.578792,-99.039644
289,LLA,9,10.466666666666667,,,19.578792,-99.039644
290,LLA,10,21.485751295336787,,,19.578792,-99.039644
291,LLA,11,36.547981469225675,,,19.578792,-99.039644
292,LLA,12,50.74570673712021,,,19.578792,-99.039644
293,LLA,13,60.270502645502646,,,19.578792,-99.039644
294,LLA,14,65.00720838794233,,,19.578792,-99.039644
295,LLA,15,65.29442282749676,,,19.578792,-99.039644
296,LLA,16,61.11089619600258,,,19.578792,-99.039644
297,LLA,17,52.85456885456885,,,19.578792,-99.039644
298,LLA,18,41.67989756722151,,,19.578792,-99.039644
299,LLA,19,29.487129987129986,,,19.578792,-99.039644
300,LLA,20,22.600641025641025,,,19.578792,-99.039644
301,LLA,21,18.37082262210797,,,19.578792,-99.039644
302,LLA,22,14.944015444015443,,,19.578792,-99.039644
303,LLA,23,12.533548387096774,,,19.578792,-99.039644
304,LPR,0,16.570093457943926,,,19.534727,-99.11772
305,LPR,1,15.643582640812557,,,19.534727,-99.11772
306,LPR,7,4.136963696369637,,,19.534727,-99.11772
307,LPR,8,6.315136476426799,,,19.534727,-99.11772
308,LPR,9,12.327227310574521,,,19.534727,-99.11772
309,LPR,10,22.22138047138047,,,19.534727,-99.11772
310,LPR,11,36.080341880341884,,,19.534727,-99.11772
