X,Y,Z,CVE_AGEB,DISPLAY_NAME
-99.1681051835468,19.360244528835,0,"0967",Movement Zone 4550
-99.1677013565787,19.3980101491828,0,"0045",Movement Zone 4551
-99.1618017151605,19.3613694890059,0,"0971",Movement Zone 4553
-99.1745058501712,19.3946362084185,0,"0219",Movement Zone 4563
-99.1841825164285,19.3944651174964,0,"0187",Movement Zone 4566
-99.1745227604989,19.3635101837996,0,"0933",Movement Zone 4568
-99.1567655218959,19.360523366734,0,"0986",Movement Zone 4569
-99.1761566201212,19.3962199358975,0,"0204",Movement Zone 4579
-99.1588238124436,19.4011465000852,0,"0011",Movement Zone 4580
-99.162818125557,19.3991351258735,0,005A,Movement Zone 4583
-99.1643217634496,19.3691005997479,0,"0825",Movement Zone 4587
-99.1736683185192,19.3834180693864,0,"0581",Movement Zone 4589
-99.1829043504077,19.3812711841713,0,"0562",Movement Zone 4590
-99.1863570575688,19.3833787672568,0,"0558",Movement Zone 4593
-99.1830744050524,19.3721550700445,0,"0793",Movement Zone 4597
-99.1841764834233,19.3866511414194,0,"0365",Movement Zone 4598
-99.1617482559958,19.3692714191377,0,083A,Movement Zone 4599
-99.1585245920631,19.3851008864901,0,"0420",Movement Zone 4603
-99.1799162855945,19.3917819665369,0,"0191",Movement Zone 4604
-99.172201350817,19.3806631262141,0,"0596",Movement Zone 4605
-99.1680082968004,19.3803047150881,0,"0609",Movement Zone 4606
-99.1627532789335,19.379013700944,0,"0613",Movement Zone 4607
-99.1713585943696,19.3631268924592,0,"0948",Movement Zone 4609
-99.1587067971376,19.3663990763985,0,"0844",Movement Zone 4612
-99.1835573139373,19.3901409052017,0,"0350",Movement Zone 4614
-99.1757462061007,19.389463053809,0,"0384",Movement Zone 4615
-99.1707415189282,19.3874383998503,0,"0399",Movement Zone 4616
-99.1825413042999,19.3759573075649,0,"0702",Movement Zone 4618
-99.1602131646273,19.3915552170045,0,"0257",Movement Zone 4619
-99.1653586268525,19.3740924570282,0,"0755",Movement Zone 4622
-99.1794261648084,19.3867744615795,0,037A,Movement Zone 4623
-99.1644867182098,19.3943362616899,0,"0242",Movement Zone 4625
-99.1577077906501,19.3978108747492,0,"0064",Movement Zone 4626
-99.1788252623582,19.3813824588967,0,"0577",Movement Zone 4630
-99.1660557249276,19.3629626046782,0,"0952",Movement Zone 4635
-99.1692843498554,19.375164776679,0,"0740",Movement Zone 4637
-99.1666167993859,19.386188477606,0,"0401",Movement Zone 4638
-99.1626261681605,19.3846467014799,0,"0416",Movement Zone 4639
-99.1740173093923,19.3768643588976,0,"0721",Movement Zone 4643
-99.1729591742317,19.3721034733094,0,"0736",Movement Zone 4644
-99.1595009546625,19.3740297226556,0,076A,Movement Zone 4645
-99.1759390698373,19.370594829917,0,"0806",Movement Zone 4647
-99.1695951006529,19.3678983661641,0,"0810",Movement Zone 4648
-99.1683667791467,19.3923339925074,0,"0238",Movement Zone 4649
-99.1725220495512,19.3915875861734,0,"0223",Movement Zone 4650
-99.1611101293431,19.4045508759976,0,"1464",Movement Zone 4655
-99.1574286497483,19.405642524336,0,"1479",Movement Zone 4656
-99.1729675114249,19.4283355784756,0,"0926",Movement Zone 4661
-99.1796130479313,19.4127681898763,0,"1303",Movement Zone 4664
-99.1800212688534,19.4082815628837,0,"1411",Movement Zone 4665
-99.1701913679009,19.4039683120912,0,"1430",Movement Zone 4666
-99.1650391074467,19.403814250687,0,145A,Movement Zone 4667
-99.1698516512205,19.4248867021431,0,"0945",Movement Zone 4672
-99.1713402670265,19.422542398994,0,"0983",Movement Zone 4673
-99.1736781260865,19.4198767831719,0,"1089",Movement Zone 4674
-99.1711333424862,19.4264074931123,0,"0930",Movement Zone 4684
-99.1772799279531,19.4170801604088,0,"1178",Movement Zone 4685
-99.1657959322454,19.4388733294622,0,"0678",Movement Zone 4686
-99.1521399025402,19.420983764343,0,"1549",Movement Zone 4687
-99.1739958596463,19.4087157658783,0,"1337",Movement Zone 4695
-99.1566876416762,19.4155708835856,0,"1110",Movement Zone 4696
-99.1339522291457,19.4359785096565,0,"0752",Movement Zone 4699
-99.1593954977904,19.4371003736576,0,"0697",Movement Zone 4707
-99.155748664116,19.4360717663979,0,070A,Movement Zone 4708
-99.1513639709028,19.4375758300553,0,"0714",Movement Zone 4709
-99.1445393120031,19.4328005290029,0,"0748",Movement Zone 4712
-99.1731735008682,19.4164244631594,0,"1182",Movement Zone 4713
-99.1704182765842,19.4129470265947,0,"1197",Movement Zone 4714
-99.1673120981994,19.4148180028065,0,120A,Movement Zone 4715
-99.1622096072436,19.4136209882094,0,"1214",Movement Zone 4716
-99.1629370487189,19.4091159830446,0,"1360",Movement Zone 4722
-99.1609763638244,19.4098178107145,0,"1375",Movement Zone 4723
-99.157467259871,19.4095227884506,0,138A,Movement Zone 4724
-99.1740474598088,19.4057713008364,0,"1426",Movement Zone 4727
-99.1683332598769,19.4024559375344,0,"1445",Movement Zone 4728
-99.1672874009963,19.4212684864829,0,"0998",Movement Zone 4730
-99.1615550842301,19.4205691324582,0,"1002",Movement Zone 4731
-99.1368123121592,19.4309633544132,0,"0818",Movement Zone 4735
-99.1515343437888,19.446678236882,0,049A,Movement Zone 4737
-99.1535115485579,19.4344012215984,0,"0729",Movement Zone 4746
-99.165203792822,19.4330346848317,0,"0790",Movement Zone 4749
-99.1580524996852,19.4306169891042,0,"0803",Movement Zone 4750
-99.1622752002329,19.4164689808477,0,"1106",Movement Zone 4751
-99.1584254808811,19.4270166328901,0,"0841",Movement Zone 4752
-99.154287581945,19.4295065548757,0,"0856",Movement Zone 4753
-99.1501902913946,19.4288321846166,0,"0860",Movement Zone 4754
-99.1450773502562,19.428104599713,0,"0875",Movement Zone 4755
-99.1394229971221,19.4282539520331,0,088A,Movement Zone 4756
-99.1349531414308,19.4277321532309,0,"0894",Movement Zone 4757
-99.1626758598059,19.4380045164151,0,"0682",Movement Zone 4766
-99.1463221199516,19.4353422071569,0,"0733",Movement Zone 4773
-99.17656720277,19.4112771832142,0,"1318",Movement Zone 4775
-99.1741153325141,19.4131331459629,0,"1322",Movement Zone 4776
-99.1697826697431,19.4086610614131,0,"1341",Movement Zone 4777
-99.1657285214184,19.4084398381706,0,"1356",Movement Zone 4778
-99.1505834260394,19.4233941334178,0,"1534",Movement Zone 4779
-99.1385277456034,19.4341137473927,0,"0767",Movement Zone 4781
-99.1639167983024,19.4249158304004,0,095A,Movement Zone 4782
-99.1377418464319,19.4252671164428,0,"0964",Movement Zone 4783
-99.156598301629,19.4222408785733,0,"1017",Movement Zone 4785
-99.1675035996032,19.4182570079526,0,"1093",Movement Zone 4788
-99.1692202589747,19.4314910191597,0,"0822",Movement Zone 4800
-99.1627516755308,19.4302974291647,0,"0837",Movement Zone 4801
-99.1880785788523,19.4215607255642,0,"0798",Movement Zone 4805
-99.1821996347519,19.415135351925,0,"0891",Movement Zone 4806
-99.1811775274267,19.4309247792496,0,068A,Movement Zone 4807
-99.1794637257247,19.4323132952796,0,"0694",Movement Zone 4809
-99.1756388471853,19.4298895539956,0,"0711",Movement Zone 4820
-99.1853263907322,19.4119657224799,0,"1029",Movement Zone 4822
-99.1789495252548,19.4043404252579,0,118A,Movement Zone 4823
-99.1813999958253,19.3982492608098,0,"1211",Movement Zone 4824
-99.1728247309669,19.401129552037,0,"1226",Movement Zone 4825
-99.2111949528555,19.4270556275028,0,"0887",Movement Zone 4843
-99.1968180149668,19.4307609556653,0,"0764",Movement Zone 4845
-99.1865099273011,19.4415733621728,0,"0478",Movement Zone 4849
-99.2093734691896,19.4420255428464,0,"0548",Movement Zone 4850
-99.1802078303925,19.4417673168313,0,"0482",Movement Zone 4851
-99.2125570870497,19.4404022699577,0,"0533",Movement Zone 4852
-99.2099212125944,19.4370850163474,0,"0622",Movement Zone 4853
-99.2040191370709,19.4422593529572,0,"0444",Movement Zone 4863
-99.1742122093302,19.4354943560024,0,"0603",Movement Zone 4864
-99.1988640656149,19.4349298082255,0,"0641",Movement Zone 4865
-99.1782632131183,19.4344945495099,0,"0707",Movement Zone 4866
-99.2023753713585,19.4305872565134,0,"0745",Movement Zone 4868
-99.1982264150221,19.4295150040564,0,075A,Movement Zone 4869
-99.2055523618058,19.4228242881101,0,"0995",Movement Zone 4873
-99.1798160714596,19.4009743509074,0,"1207",Movement Zone 4874
-99.1879304110564,19.4293483417115,0,"0783",Movement Zone 4876
-99.1865889819244,19.433330339103,0,"0675",Movement Zone 4879
-99.1938363683148,19.4287191680592,0,"0779",Movement Zone 4880
-99.1976224216301,19.4425712258082,0,"0459",Movement Zone 4892
-99.1925498178116,19.4438528728319,0,"0463",Movement Zone 4893
-99.1971889585797,19.4394894983545,0,"0552",Movement Zone 4895
-99.1899248826402,19.4393770446448,0,"0571",Movement Zone 4903
-99.1815165202369,19.4380371672292,0,"0586",Movement Zone 4904
-99.1750894752287,19.438052017112,0,"0590",Movement Zone 4905
-99.2071846244746,19.4287260500784,0,"0849",Movement Zone 4907
-99.1877425444306,19.4087211594352,0,"1160",Movement Zone 4916
-99.1856788699288,19.4045962147922,0,"1175",Movement Zone 4917
-99.2055104116108,19.434661160988,0,"0637",Movement Zone 4927
-99.1935745581893,19.4348090975688,0,"0656",Movement Zone 4928
-99.1884158521456,19.4356358195707,0,"0660",Movement Zone 4929
